Name,Address,Address2,City,State,Zip,County,Lat,Long
RALPHS #277,N 950 LA BREA AVE,0,INGLEWOOD,CA,90302, LOS ANGELES,33.975415,-118.35698
RALPHS #279, 4700 ADMIRALTY WAY,0,MARINA DEL REY,CA,90292, LOS ANGELES,33.979819,-118.43999
FOOD 4 LESS #375,S 1091 HOOVER ST,0,LOS ANGELES,CA,90006, LOS ANGELES,34.051066,-118.28418
RALPHS #274,W 1730 MANCHESTER AVE,0,LOS ANGELES,CA,90047, LOS ANGELES,33.959307,-118.3079
FOOD 4 LESS #767, 12689 GLENOAKS BLVD,0,SYLMAR,CA,91342, LOS ANGELES,34.300758,-118.44084
VONS #2162,W 1440 25TH ST,0,SAN PEDRO,CA,90732, LOS ANGELES,33.722968,-118.31088
VONS #2152,W 155 CALIFORNIA BLVD,0,PASADENA,CA,91105, LOS ANGELES,34.135817,-118.15293
VONS #2139,N 1390 ALLEN AVE,0,PASADENA,CA,91104, LOS ANGELES,34.170018,-118.11216
VONS #3138,W 16550 SOLEDAD CANYON RD,0,SANTA CLARITA,CA,91351, LOS ANGELES,34.416396,-118.45413
PAVILIONS #2105, 4365 GLENCOE AVE,0,MARINA DEL REY,CA,90292, LOS ANGELES,33.985192,-118.43939
VONS #3086,S 2122 HACIENDA BLVD,0,HACIENDA HEIGHTS,CA,91745, LOS ANGELES,33.995017,-117.96655
VONS #3076, 1820 XIMENO AVE,0,LONG BEACH,CA,90815, LOS ANGELES,33.790395,-118.13773
VONS #3075, 1129 FAIR OAKS AVE,0,SOUTH PASADENA,CA,91030, LOS ANGELES,34.112869,-118.15109
VONS #2066, 18439 VENTURA BLVD,0,TARZANA,CA,91356, LOS ANGELES,34.168805,-118.53441
VONS #2001, 5671 KANAN ROAD,0,AGOURA HILLS,CA,91301, LOS ANGELES,34.153397,-118.75742
VONS #2039, 19333 VICTORY BLVD,0,RESEDA,CA,91335, LOS ANGELES,34.187769,-118.55445
VONS #2027, 15740 LAFORGE ST,0,WHITTIER,CA,90603, LOS ANGELES,33.941129,-117.99422
VONS #4021,W 6571 80TH ST,0,LOS ANGELES,CA,90045, LOS ANGELES,33.969319,-118.40547
VONS #1625,W 1260 REDONDO BEACH BLVD,0,GARDENA,CA,90247, LOS ANGELES,33.891617,-118.29809
RALPHS #100, 7257 SUNSET BLVD,0,HOLLYWOOD,CA,90046, LOS ANGELES,34.098123,-118.30021
RALPHS #006, 17840 VENTURA BLVD,0,ENCINO,CA,91316, LOS ANGELES,34.162597,-118.52106
RALPHS #021, 1745 GARFIELD AVE,0,SOUTH PASADENA,CA,91030, LOS ANGELES,34.105124,-118.1355
RALPHS #032,W 3410 THIRD ST,0,LOS ANGELES,CA,90020, LOS ANGELES,34.069049,-118.28938
RALPHS #041,E 211 FOOTHILL BLVD,0,ARCADIA,CA,91006, LOS ANGELES,34.151641,-118.02509
RALPHS #044, 12057 WILSHIRE BLVD,0,LOS ANGELES,CA,90025, LOS ANGELES,34.044931,-118.46703
RALPHS #047, 7221 WOODMAN AVE,0,VAN NUYS,CA,91405, LOS ANGELES,34.201781,-118.43126
RALPHS #049, 10455 SUNLAND BLVD,0,SUNLAND,CA,91040, LOS ANGELES,34.260526,-118.3258
RALPHS #053, 9470 LAS TUNAS DR,0,TEMPLE CITY,CA,91780, LOS ANGELES,34.105509,-118.06407
RALPHS #055, 521 FOOTHILL BLVD,0,LA CANADA,CA,91011, LOS ANGELES,34.200506,-118.18998
RALPHS #058, 3380 LOS COYOTES DIAGONAL,0,LONG BEACH,CA,90808, LOS ANGELES,33.818123,-118.10881
RALPHS #063, 12921 MAGNOLIA BLVD,0,VAN NUYS,CA,91423, LOS ANGELES,34.165522,-118.41449
RALPHS #064, 14919 WHITTIER BLVD,0,WHITTIER,CA,90605, LOS ANGELES,33.949721,-118.00741
RALPHS #070, 20060 VENTURA BLVD,0,WOODLAND HILLS,CA,91364, LOS ANGELES,34.170048,-118.5703
RALPHS #156,W 10309 OLYMPIC BLVD,0,LOS ANGELES,CA,90064, LOS ANGELES,34.052436,-118.41788
STATER BROS. #057,E 1145 ALOSTA AVE,0,AZUSA,CA,91702, LOS ANGELES,34.129408,-117.88288
STATER BROS. #049,W 1055 FOOTHILL BLVD,0,CLAREMONT,CA,91711, LOS ANGELES,34.107106,-117.73499
STATER BROS. #006,E 1830 ROUTE 66,0,GLENDORA,CA,91740, LOS ANGELES,34.127318,-117.83006
STATER BROS. #048, 2090 FOOTHILL BLVD,0,LA VERNE,CA,91750, LOS ANGELES,34.112707,-117.76616
STATER BROS. #070, 12523 ALONDRA BLVD,0,NORWALK,CA,90650, LOS ANGELES,33.888443,-118.06554
STATER BROS. #019,N 1045 GAREY AVE,0,POMONA,CA,91767, LOS ANGELES,34.068311,-117.75288
STATER BROS. #067,E 19756 COLIMA RD,0,ROWLAND HEIGHTS,CA,91748, LOS ANGELES,33.986502,-117.8703
STATER BROS. #056,W 1425 ARROW HWY,0,SAN DIMAS,CA,91773, LOS ANGELES,34.107353,-117.83663
STATER BROS. #054, 1025 AMAR ST,0,WEST COVINA,CA,91790, LOS ANGELES,34.0356,-117.92444
STATER BROS. #015, 14212 MULBERRY ST,0,WHITTIER,CA,90604, LOS ANGELES,33.942743,-118.02746
RALPHS #743,W 320 COLORADO BLVD,0,PASADENA,CA,91105, LOS ANGELES,34.145205,-118.15712
RALPHS #742,W 1101 HUNTINGTON DR,0,ARCADIA,CA,91007, LOS ANGELES,34.131607,-118.06632
RALPHS #728, 2909 ROLLING HILLS RD,0,TORRANCE,CA,90505, LOS ANGELES,33.788641,-118.34094
RALPHS #724, 9040 BEVERLY BLVD,0,WEST HOLLYWOOD,CA,90048, LOS ANGELES,34.076756,-118.38921
RALPHS #715,N 330 ATLANTIC BLVD,0,MONTEREY PARK,CA,91754, LOS ANGELES,34.065157,-118.1343
RALPHS #711, 6657 LAUREL CANYON BLVD,0,NORTH HOLLYWOOD,CA,91606, LOS ANGELES,34.191769,-118.3965
VONS #2002, 1311 WILSHIRE BLVD,0,SANTA MONICA,CA,90403, LOS ANGELES,34.026257,-118.48981
RALPHS #269,S 11873 HAWTHORNE BLVD,0,HAWTHORNE,CA,90250, LOS ANGELES,33.926017,-118.35272
RALPHS #266,S 11922 VERMONT AVE,0,LOS ANGELES,CA,90044, LOS ANGELES,33.925023,-118.29099
RALPHS #250, 20137 PIONEER BLVD,0,LAKEWOOD,CA,90715, LOS ANGELES,33.847459,-118.08208
RALPHS #702, 14440 BURBANK BLVD,0,SHERMAN OAKS,CA,91401, LOS ANGELES,34.172116,-118.44782
RALPHS #704, 16940 DEVONSHIRE ST,0,GRANADA HILLS,CA,91344, LOS ANGELES,34.256727,-118.50153
RALPHS #709, 11361 NATIONAL BLVD,0,LOS ANGELES,CA,90064, LOS ANGELES,34.025511,-118.43295
JON'S MARKET #02, 6655 VAN NUYS BLVD,0,VAN NUYS,CA,91405, LOS ANGELES,34.192232,-118.44965
FOOD 4 LESS #336, 8620 WHITTIER BLVD,0,PICO RIVERA,CA,90660, LOS ANGELES,34.003093,-118.0881
VONS #2169,W 435 FOOTHILL BLVD,0,GLENDORA,CA,91741, LOS ANGELES,34.137091,-117.87167
RALPHS #017, 8325 LAUREL CANYON BLVD,0,SUN VALLEY,CA,91352, LOS ANGELES,34.223324,-118.39804
RALPHS #283, 5080 RODEO ROAD,0,LOS ANGELES,CA,90016, LOS ANGELES,34.021525,-118.35518
RALPHS #173, 9200 LAKEWOOD BLVD,0,DOWNEY,CA,90240, LOS ANGELES,33.955506,-118.11226
JON'S MARKET #03,W 3334 8TH ST,0,LOS ANGELES,CA,90005, LOS ANGELES,34.057467,-118.30127
FOOD 4 LESS #370, 4910 HUNTINGTON DR,0,LOS ANGELES,CA,90032, LOS ANGELES,34.086675,-118.17588
RALPHS #256,E 650 CARSON ST,0,CARSON,CA,90745, LOS ANGELES,33.83159,-118.26445
RALPHS #281, 910 LINCOLN BLVD,0,VENICE,CA,90291, LOS ANGELES,33.998416,-118.46181
FOOD 4 LESS #338, 11950 GARVEY AVE,0,EL MONTE,CA,91732, LOS ANGELES,34.062071,-118.01983
RALPHS #630,N 2270 LAKE AVE,0,ALTADENA,CA,91001, LOS ANGELES,34.185021,-118.13089
RALPHS #730,E 3601 FOOTHILL BLVD,0,PASADENA,CA,91107, LOS ANGELES,34.150175,-118.07547
RALPHS #731,W 23841 MALIBU RD,0,MALIBU,CA,90265, LOS ANGELES,34.032217,-118.69813
RALPHS #096,N 160 LAKE AVE,0,PASADENA,CA,91101, LOS ANGELES,34.148967,-118.13129
FOOD 4 LESS #381,S 1717 WESTERN AVE,0,LOS ANGELES,CA,90006, LOS ANGELES,34.042039,-118.3101
SUPERIOR GROCERS #102,S 7316 COMPTON AVE,0,LOS ANGELES,CA,90001, LOS ANGELES,33.973814,-118.24767
LONDON MARKET, 1814 ATLANTIC AVE,0,LONG BEACH,CA,90806, LOS ANGELES,33.790375,-118.18468
FOOD 4 LESS #322,E 1651 103RD ST,0,LOS ANGELES,CA,90002, LOS ANGELES,33.9432,-118.24455
FOOD 4 LESS #377, 12765 VAN NUYS BLVD,0,PACOIMA,CA,91331, LOS ANGELES,34.274445,-118.41064
RALPHS #083,E 13321 SOUTH ST,0,CERRITOS,CA,90703, LOS ANGELES,33.858729,-118.04782
RALPHS #085,S 16123 BELLFLOWER BLVD,0,BELLFLOWER,CA,90706, LOS ANGELES,33.887479,-118.12528
RALPHS #086, 3827 CULVER CENTER ST,0,CULVER CITY,CA,90232, LOS ANGELES,34.017495,-118.40769
RALPHS #087,N 1050 WESTERN AVE,0,SAN PEDRO,CA,90732, LOS ANGELES,33.752314,-118.30885
RALPHS #097,N 1200 CENTRAL AVE,0,GLENDALE,CA,91202, LOS ANGELES,34.164408,-118.25633
RALPHS #165, 5951 DEL AMO BLVD,0,LAKEWOOD,CA,90713, LOS ANGELES,33.847666,-118.11571
RALPHS #166, 2700 SEPULVEDA BLVD,0,MANHATTAN BEACH,CA,90266, LOS ANGELES,33.895841,-118.39593
LOS ANGELES COMMISSARY,N 438 AVIATION BLVD, BLDG 251,EL SEGUNDO,CA,90245, LOS ANGELES,33.921719,-118.37842
VONS #2110, 715 PIER AVE,0,HERMOSA BEACH,CA,90254, LOS ANGELES,33.865658,-118.39447
FOOD 4 LESS #341,E 4400 SLAUSON AVE,0,MAYWOOD,CA,90270, LOS ANGELES,33.986718,-118.18701
VONS #2111, 24160 LYONS AVE,0,SANTA CLARITA,CA,91321, LOS ANGELES,34.377432,-118.55741
SUPERIOR GROCERS #103,E 3831 MARTIN LUTHER KING BLVD,0,LYNWOOD,CA,90262, LOS ANGELES,33.928025,-118.19758
FOOD 4 LESS #378, 11840 WILMINGTON AVE,0,WILLOWBROOK,CA,90059, LOS ANGELES,33.92567,-118.23766
RALPHS #120, 1413 HAWTHORNE BLVD,0,REDONDO BEACH,CA,90278, LOS ANGELES,33.866759,-118.35354
RALPHS #262, 17500 CRENSHAW BLVD,0,TORRANCE,CA,90504, LOS ANGELES,33.871482,-118.32648
RALPHS #026, 5727 KANAN RD,0,AGOURA HILLS,CA,91301, LOS ANGELES,34.155205,-118.7584
RALPHS #088, 5035 PACIFIC COAST HWY,0,TORRANCE,CA,90505, LOS ANGELES,33.813116,-118.36771
RALPHS #110, 3455 SEPULVEDA BLVD,0,TORRANCE,CA,90505, LOS ANGELES,33.826793,-118.34761
RALPHS #185,W 5245 CENTINELA AVE,0,LOS ANGELES,CA,90045, LOS ANGELES,33.977306,-118.37238
RALPHS #186,N 1930 LAKEWOOD BLVD,0,LONG BEACH,CA,90815, LOS ANGELES,33.79185,-118.14138
HK SUPERMARKET,N 124 WESTERN AVE,0,LOS ANGELES,CA,90004, LOS ANGELES,34.074284,-118.30874
FOOD 4 LESS #324, 11245 LONG BEACH BLVD,0,LYNWOOD,CA,90262, LOS ANGELES,33.928584,-118.21107
JON'S MARKET #07, 5311 SANTA MONICA BLVD,0,LOS ANGELES,CA,90029, LOS ANGELES,34.091173,-118.30516
BAJA RANCH MARKET #1,W 328 HUNTINGTON DR,0,MONROVIA,CA,91016, LOS ANGELES,34.140313,-118.0064
RALPHS #726, 19340 SOLEDAD CANYON RD,0,CANYON COUNTRY,CA,91351, LOS ANGELES,34.414764,-118.4732
RALPHS #705, 15120 SUNSET BLVD,0,PACIFIC PALISADES,CA,90272, LOS ANGELES,34.045315,-118.52329
RALPHS #720, 30019 HAWTHORNE BLVD,0,PALOS VERDES PENINSU,CA,90274, LOS ANGELES,33.787778,-118.35829
PAVILIONS #2233, 7 PENINSULA CENTER,0,ROLLING HILLS ESTATE,CA,90274, LOS ANGELES,33.775855,-118.37646
VONS #2288, 2039 VERDUGO BLVD,0,MONTROSE,CA,91020, LOS ANGELES,34.204793,-118.22086
FOOD 4 LESS #321, 6920 SANTA FE AVE,0,HUNTINGTON PARK,CA,90255, LOS ANGELES,33.976154,-118.2296
TOP VALU #09, 421 PACIFIC AVE,0,LONG BEACH,CA,90802, LOS ANGELES,33.772003,-118.19412
STATER BROS. #106,N 375 AZUSA AVE,0,WEST COVINA,CA,91791, LOS ANGELES,34.076824,-117.90782
FOOD 4 LESS #306, 44455 VALLEY CENTRAL WAY,0,LANCASTER,CA,93536, LOS ANGELES,34.690578,-118.17346
VONS #2029, 4033 WEST AVE,  L,LANCASTER,CA,93536, LOS ANGELES,34.661177,-118.20249
FOOD 4 LESS #307, 6901 EASTERN AVE,0,BELL GARDENS,CA,90201, LOS ANGELES,33.970514,-118.16548
FOOD 4 LESS #309, 9635 LAUREL CANYON BLVD,0,PACOIMA,CA,91331, LOS ANGELES,34.245232,-118.41779
RALPHS #001, 2675 FOOTHILL BLVD,0,LA CRESCENTA,CA,91214, LOS ANGELES,34.222412,-118.23716
FOOD 4 LESS #379,W 1900 ROSECRANS AVE,0,COMPTON,CA,90220, LOS ANGELES,33.901555,-118.25227
RALPHS #039,S 260 LA BREA AVE,0,LOS ANGELES,CA,90036, LOS ANGELES,34.070018,-118.3435
VONS #3017, 3027 RANCHO VISTA BLVD,0,PALMDALE,CA,93551, LOS ANGELES,34.602873,-118.18433
SUPERIOR GROCERS #101,S 10211 AVALON BLVD,0,LOS ANGELES,CA,90003, LOS ANGELES,33.943674,-118.26514
HAWAII SUPERMARKET,E 120 VALLEY BLVD,0,SAN GABRIEL,CA,91776, LOS ANGELES,34.079156,-118.09888
VONS #2007,E 431 ARROW HIGHWAY,0,GLENDORA,CA,91740, LOS ANGELES,34.107018,-117.85635
VONS #2167,N 350 LEMON AVE,0,WALNUT,CA,91789, LOS ANGELES,34.019469,-117.86437
PAVILIONS #2200,W 130 FOOTHILL BLVD,0,MONROVIA,CA,91016, LOS ANGELES,34.151342,-118.00233
PAVILIONS #2203,E 5949 SPRING ST,0,LONG BEACH,CA,90808, LOS ANGELES,33.811609,-118.1158
PAVILIONS #2212, 11030 JEFFERSON BLVD,0,CULVER CITY,CA,90230, LOS ANGELES,33.997591,-118.3954
PAVILIONS #2224,E 845 CALIFORNIA BLVD,0,PASADENA,CA,91106, LOS ANGELES,34.137848,-118.13307
PAVILIONS #2228, 1213 FAIR OAKS AVE,0,SOUTH PASADENA,CA,91030, LOS ANGELES,34.111579,-118.15117
PAVILIONS #2229,N 727 VINE ST,0,LOS ANGELES,CA,90038, LOS ANGELES,34.084459,-118.3266
PAVILIONS #2231, 820 MONTANA AVE,0,SANTA MONICA,CA,90403, LOS ANGELES,34.02791,-118.49991
PAVILIONS #2232, 4705 TORRANCE BLVD,0,TORRANCE,CA,90503, LOS ANGELES,33.838355,-118.36331
JON'S MARKET #09, 1717 GLENOAKS BLVD,0,GLENDALE,CA,91201, LOS ANGELES,34.171527,-118.29009
PAVILIONS #2214, 1110 ALAMEDA AVE,0,BURBANK,CA,91506, LOS ANGELES,34.1629,-118.31415
RALPHS #245, 11825 WHITTIER BLVD,0,WHITTIER,CA,90601, LOS ANGELES,33.980945,-118.04973
RALPHS #095, 2230 ATLANTIC BLVD,0,MONTEREY PARK,CA,91754, LOS ANGELES,34.038186,-118.14535
FOOD 4 LESS #313, 14500 OCEAN GATE AVE,0,HAWTHORNE,CA,90250, LOS ANGELES,33.89959,-118.36707
FOOD 4 LESS #317, 6700 CHERRY AVE,0,LONG BEACH,CA,90805, LOS ANGELES,33.877399,-118.16772
RALPHS #202, 1100 PACIFIC COAST HWY,0,HERMOSA BEACH,CA,90254, LOS ANGELES,33.863931,-118.39163
RALPHS #056, 10900 MAGNOLIA BLVD,0,NORTH HOLLYWOOD,CA,91601, LOS ANGELES,34.164392,-118.36819
SHUN FAT SUPERMARKET,N 421 ATLANTIC BLVD,0,MONTEREY PARK,CA,91754, LOS ANGELES,34.067356,-118.13482
TOP VALU #14, 4831 WHITTIER BLVD,0,EAST LOS ANGELES,CA,90022, LOS ANGELES,34.021861,-118.16419
RALPHS #081, 21909 VENTURA BLVD,0,WOODLAND HILLS,CA,91364, LOS ANGELES,34.169119,-118.60406
VALLARTA SUPERMARKET #7, 13820 FOOTHILL BLVD,0,SYLMAR,CA,91342, LOS ANGELES,34.31019,-118.43489
FOOD 4 LESS #323, 16530 SHERMAN WAY,0,VAN NUYS,CA,91406, LOS ANGELES,34.200645,-118.49354
RALPHS #280, 4311 LINCOLN BLVD,0,MARINA DEL REY,CA,90292, LOS ANGELES,33.984541,-118.44335
FOOD 4 LESS #344,S 5318 MAIN ST,0,LOS ANGELES,CA,90037, LOS ANGELES,33.993945,-118.27338
JON'S MARKET #11,N 1601 VERMONT AVE,0,LOS ANGELES,CA,90027, LOS ANGELES,34.10022,-118.29246
RALPHS #060,E 1416 COLORADO ST,0,GLENDALE,CA,91205, LOS ANGELES,34.141843,-118.23329
FOOD 4 LESS #337,N 615 AZUSA AVE,0,WEST COVINA,CA,91791, LOS ANGELES,34.081494,-117.90894
RALPHS #289, 5601 WILSHIRE BLVD,0,LOS ANGELES,CA,90036, LOS ANGELES,34.062921,-118.35096
EL SERENO MARKET, 4837 HUNTINGTON DR, UNIT 3,LOS ANGELES,CA,90032, LOS ANGELES,34.086299,-118.17902
RALPHS #219, 16325 VENTURA BLVD,0,ENCINO,CA,91436, LOS ANGELES,34.157643,-118.48938
RALPHS #209, 8824 SEPULVEDA BLVD,0,LOS ANGELES,CA,90045, LOS ANGELES,33.956867,-118.39614
RALPHS #291,W 4760 PICO BLVD,0,LOS ANGELES,CA,90019, LOS ANGELES,34.04842,-118.3398
ENSENADA MEAT MARKET,W 851-853 GARDENA BLVD,0,GARDENA,CA,90247, LOS ANGELES,33.88162,-118.29035
R-RANCH MARKET #4,S 8601 HOOPER,0,LOS ANGELES,CA,90002, LOS ANGELES,33.960155,-118.25398
MAMI MARKET,S 6922 WESTERN AVE,0,LOS ANGELES,CA,90047, LOS ANGELES,33.976967,-118.30896
HENRY'S MARKET,S 18409 AVALON BLVD,0,CARSON,CA,90746, LOS ANGELES,33.885758,-118.2652
VALLARTA SUPERMARKETS #4,E 440 PALMDALE BLVD,0,PALMDALE,CA,93550, LOS ANGELES,34.579276,-118.12228
FOOD 4 LESS #376, 19200 SOLEDAD CANYON RD,0,SANTA CLARITA,CA,91351, LOS ANGELES,34.414754,-118.47079
FOOD 4 LESS #366, 10901 IMPERIAL HWY,0,NORWALK,CA,90650, LOS ANGELES,33.918081,-118.10145
FOOD 4 LESS #363,E 2750 FIRST ST,0,LOS ANGELES,CA,90033, LOS ANGELES,34.041379,-118.20451
FOOD 4 LESS #362, 5420 SUNSET BLVD,0,HOLLYWOOD,CA,90027, LOS ANGELES,34.098103,-118.30748
FOOD 4 LESS #360,E 2341 AVENUE  S,0,PALMDALE,CA,93550, LOS ANGELES,34.559114,-118.08611
RALPHS #210, 11727 OLYMPIC BLVD,0,LOS ANGELES,CA,90064, LOS ANGELES,34.033982,-118.44834
RALPHS #293, 1233 NORTH LA BREA AVE,0,WEST HOLLYWOOD,CA,90038, LOS ANGELES,34.093433,-118.34408
NORTHGATE MARKET #3, 21423 NORWALK BLVD,0,HAWAIIAN GARDENS,CA,90716, LOS ANGELES,33.834776,-118.07204
FOOD 4 LESS #368,W 851 SEPULVEDA BLVD,0,TORRANCE,CA,90502, LOS ANGELES,33.811196,-118.28894
FOOD 4 LESS #383, 7810 NORWALK BLVD,0,SANTA FE SPRINGS,CA,90606, LOS ANGELES,33.959616,-118.071
FOOD 4 LESS #364,W 3200 CENTURY BLVD,0,INGLEWOOD,CA,90303, LOS ANGELES,33.945191,-118.32836
FOOD 4 LESS #367,E 2185 SOUTH ST,0,LONG BEACH,CA,90805, LOS ANGELES,33.8614,-118.16661
FOOD 4 LESS #314, 8530 TOBIAS AVE,0,PANORAMA CITY,CA,91402, LOS ANGELES,34.225318,-118.45166
SUPERIOR GROCERS #107,S 6010 PACIFIC BLVD,0,HUNTINGTON PARK,CA,90255, LOS ANGELES,33.986736,-118.22521
SUPERIOR GROCERS #105, 7300 ATLANTIC AVE,0,CUDAHY,CA,90201, LOS ANGELES,33.9687,-118.18713
SUPERIOR GROCERS #106,W 1201 WHITTIER BLVD,0,MONTEBELLO,CA,90640, LOS ANGELES,34.011044,-118.11318
FOOD 4 LESS #369,N 1821 HACIENDA BLVD,0,LA PUENTE,CA,91744, LOS ANGELES,34.052114,-117.94407
RALPHS #171,S 655 GRAND AVE,0,GLENDORA,CA,91740, LOS ANGELES,34.127735,-117.87381
VONS #3517, 24325 CRENSHAW BLVD,0,TORRANCE,CA,90503, LOS ANGELES,33.804094,-118.32797
BIG SAVER FOODS #08,E 7619 GARVEY AVE,0,ROSEMEAD,CA,91770, LOS ANGELES,34.062681,-118.1029
RALPHS #198,W 9616 PICO BLVD,0,LOS ANGELES,CA,90035, LOS ANGELES,34.05512,-118.39817
RALPHS #295, 8626 FIRESTONE BLVD,0,DOWNEY,CA,90241, LOS ANGELES,33.93705,-118.12719
R & G'S FOOD BASKET, 14407 PIONEER BLVD,0,NORWALK,CA,90650, LOS ANGELES,33.900015,-118.08307
RALPHS #292, 1644 CLOVERFIELD BLVD,0,SANTA MONICA,CA,90404, LOS ANGELES,34.027046,-118.47382
FOOD 4 LESS #332, 8035 WEBB AVE,0,NORTH HOLLYWOOD,CA,91605, LOS ANGELES,34.216278,-118.3894
RALPHS #016,S 670 WESTERN AVE,0,LOS ANGELES,CA,90005, LOS ANGELES,34.06003,-118.30851
RALPHS #147,N 27760 MCBEAN PKWY,0,VALENCIA,CA,91354, LOS ANGELES,34.444523,-118.55332
VALU MART FOOD WAREHOUSE,N 6340 ROSEMEAD BLVD,0,TEMPLE CITY,CA,91780, LOS ANGELES,34.113426,-118.07371
RALPHS #757, 24975 PICO CANYON RD,0,STEVENSON RANCH,CA,91381, LOS ANGELES,34.381542,-118.57229
PLAZA MARKET, 4121 CITY TERRACE DR,0,LOS ANGELES,CA,90063, LOS ANGELES,34.055983,-118.17687
RALPHS #178,E 6290 PACIFIC COAST HWY,0,LONG BEACH,CA,90803, LOS ANGELES,33.761633,-118.1145
RALPHS #294,S 2600 VERMONT AVE,0,LOS ANGELES,CA,90007, LOS ANGELES,34.032014,-118.29066
FOOD 4 LESS #330,E 3654 OLYMPIC BLVD,0,LOS ANGELES,CA,90023, LOS ANGELES,34.018831,-118.19827
RALPHS #213, 22915 VICTORY BLVD,0,CANOGA PARK,CA,91307, LOS ANGELES,34.186999,-118.62684
VONS #2250, 16830 SAN FERNANDO MISSION BLVD,0,GRANADA HILLS,CA,91344, LOS ANGELES,34.271236,-118.50014
FOOD 4 LESS #348, 18318 VANOWEN ST,0,RESEDA,CA,91335, LOS ANGELES,34.193869,-118.53209
