OSHPD_ID,FACILITY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,HYPERLINK TO ATLAS,LONGITUDE,LATITUDE
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,19,LOS ANGELES,Emergency - Basic,318,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190125,-118.26551,34.03721
106190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE,255 EAST BONITA AVENUE,POMONA,91767,19,LOS ANGELES,,68,Open,02/28/1961,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190137,-117.74561,34.09633
106190148,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,90301,19,LOS ANGELES,Emergency - Basic,369,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190148,-118.34788,33.94917
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,4211 SOUTH AVALON BOULEVARD,LOS ANGELES,90011,19,LOS ANGELES,Not Applicable,72,Open,10/17/1973,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190150,-118.26535,34.00733
106190155,CENTURY CITY DOCTORS HOSPITAL,2070 CENTURY PARK EAST,LOS ANGELES,90067,19,LOS ANGELES,Emergency - Basic,176,Suspense,08/28/2008,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190155,-118.41151,34.0582
106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,90716,19,LOS ANGELES,Emergency - Basic,107,Open,01/28/1972,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190159,-118.08169,33.83352
106190163,AURORA CHARTER OAK,1161 EAST COVINA BOULEVARD,COVINA,91724,19,LOS ANGELES,Not Applicable,134,Open,01/01/1946,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190163,-117.86618,34.09951
106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,4650 SUNSET BOULEVARD,LOS ANGELES,90027,19,LOS ANGELES,Emergency - Basic,495,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190170,-118.29069,34.09805
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 EAST DUARTE ROAD,DUARTE,91010,19,LOS ANGELES,,217,Open,03/08/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190176,-117.97152,34.13216
106190184,COLLEGE HOSPITAL,10802 COLLEGE PLACE,CERRITOS,90703,19,LOS ANGELES,Not Applicable,187,Open,04/14/1974,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190184,-118.1028,33.88489
106190196,KINDRED HOSPITAL - SOUTH BAY,1246 WEST 155TH STREET,GARDENA,90247,19,LOS ANGELES,,84,Open,07/17/1957,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190196,-118.29701,33.89042
106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,19,LOS ANGELES,Emergency - Standby,81,Open,12/31/1957,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190197,-118.22466,33.98929
106190198,LOS ANGELES COMMUNITY HOSPITAL,4081 EAST OLYMPIC BOULEVARD,LOS ANGELES,90023,19,LOS ANGELES,Emergency - Standby,130,Open,10/24/1957,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190198,-118.1875,34.01897
106190200,SAN GABRIEL VALLEY MEDICAL CENTER,438 W. LAS TUNAS DRIVE,SAN GABRIEL,91776,19,LOS ANGELES,Emergency - Basic,273,Open,08/17/1960,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190200,-118.10503,34.1024
106190232,DEL AMO HOSPITAL,23700 CAMINO DEL SOL,TORRANCE,90505,19,LOS ANGELES,Not Applicable,166,Open,10/25/1972,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190232,-118.34495,33.81031
106190240,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,90712,19,LOS ANGELES,Emergency - Basic,172,Open,05/17/1972,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190240,-118.14837,33.86016
106190243,PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,DOWNEY,90241,19,LOS ANGELES,Emergency - Basic,199,Open,09/18/1969,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190243,-118.13196,33.93515
106190256,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,90023,19,LOS ANGELES,Emergency - Basic,127,Open,08/15/1949,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190256,-118.18377,34.02383
106190280,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BOULEVARD,ENCINO,91436,19,LOS ANGELES,Emergency - Basic,148,Open,11/08/1954,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190280,-118.48662,34.15686
106190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,91741,19,LOS ANGELES,Emergency - Basic,105,Open,03/26/1973,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190298,-117.87244,34.13384
106190305,KINDRED HOSPITAL - LOS ANGELES,5525 WEST SLAUSON AVENUE,LOS ANGELES,90056,19,LOS ANGELES,,81,Open,04/28/1958,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190305,-118.37754,33.98907
106190307,PACIFIC ALLIANCE MEDICAL CENTER,531 WEST COLLEGE STREET,LOS ANGELES,90012,19,LOS ANGELES,,138,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190307,-118.23905,34.06464
106190315,GARFIELD MEDICAL CENTER,525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,19,LOS ANGELES,Emergency - Basic,210,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190315,-118.12302,34.06826
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,1891 EFFIE STREET,LOS ANGELES,90026,19,LOS ANGELES,Not Applicable,55,Open,07/02/1974,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190317,-118.25646,34.08437
106190323,GLENDALE ADVENTIST MEDICAL CENTER,1509 WILSON TERRACE,GLENDALE,91206,19,LOS ANGELES,Emergency - Basic,515,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190323,-118.23109,34.14951
106190328,GLENDORA COMMUNITY HOSPITAL,150 WEST ROUTE 66,GLENDORA,91740,19,LOS ANGELES,Emergency - Basic,128,Open,06/12/1958,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190328,-117.86609,34.12867
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVENUE,SOUTH EL MONTE,91733,19,LOS ANGELES,Emergency - Basic,117,Open,07/01/1974,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190352,-118.04257,34.04827
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,90028,19,LOS ANGELES,,100,Open,02/08/1963,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190380,-118.32501,34.09628
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 NORTH VERMONT AVENUE,LOS ANGELES,90027,19,LOS ANGELES,Emergency - Basic,434,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190382,-118.29163,34.09557
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI STREET,MISSION HILLS,91345,19,LOS ANGELES,Emergency - Basic,377,Open,06/21/1961,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190385,-118.45951,34.2791
106190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,19,LOS ANGELES,Emergency - Basic,408,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190392,-118.26522,34.05324
106190400,HUNTINGTON MEMORIAL HOSPITAL,100 W. CALIFORNIA BOULEVARD,PASADENA,91105,19,LOS ANGELES,Emergency - Basic,625,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190400,-118.1518,34.13565
106190410,SILVER LAKE MEDICAL CENTER-INGLESIDE CAMPUS,7500 HELLMAN AVENUE,ROSEMEAD,91770,19,LOS ANGELES,,118,Open,08/13/1996,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190410,-118.1057401,34.06931613
106190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,210 W. SAN BERNARDINO ROAD,COVINA,91723,19,LOS ANGELES,Emergency - Basic,193,Open,03/28/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190413,-117.89264,34.08993
106190422,TORRANCE MEMORIAL MEDICAL CENTER,3330 WEST LOMITA BOULEVARD,TORRANCE,90505,19,LOS ANGELES,Emergency - Basic,446,Open,03/29/1971,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190422,-118.34388,33.81258
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BOULEVARD,LOS ANGELES,90027,19,LOS ANGELES,Emergency - Basic,460,Open,05/01/1953,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190429,-118.29545,34.09823
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,25825 SOUTH VERMONT AVENUE,HARBOR CITY,90710,19,LOS ANGELES,Emergency - Basic,325,Open,01/14/1959,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190431,-118.29415,33.789
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,91402,19,LOS ANGELES,Emergency - Basic,218,Open,06/21/1963,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190432,-118.43009,34.21975
106190434,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVENUE,LOS ANGELES,90034,19,LOS ANGELES,Emergency - Basic,288,Open,09/16/1974,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190434,-118.37568,34.03793
106190449,KINDRED HOSPITAL - LA MIRADA,14900 EAST IMPERIAL HIGHWAY,LA MIRADA,90638,19,LOS ANGELES,,118,Open,07/27/1961,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190449,-118.01348,33.91702
106190458,KINDRED HOSPITAL - SAN GABRIEL VALLEY,845 NORTH LARK ELLEN AVENUE,WEST COVINA,91791,19,LOS ANGELES,,76,Open,06/12/1956,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190458,-117.91669,34.0857
106190462,AURORA LAS ENCINAS HOSPITAL,2900 EAST DEL MAR BOULEVARD,PASADENA,91107,19,LOS ANGELES,Not Applicable,118,Open,01/01/1946,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190462,-118.09041,34.14213
106190468,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,443 SOUTH SOTO STREET,LOS ANGELES,90033,19,LOS ANGELES,,36,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190468,-118.21227,34.03996
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,4101 TORRANCE BOULEVARD,TORRANCE,90503,19,LOS ANGELES,Emergency - Basic,327,Open,12/21/1959,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190470,-118.35708,33.83767
106190475,COMMUNITY HOSPITAL LONG BEACH,1720 TERMINO AVENUE,LONG BEACH,90804,19,LOS ANGELES,Emergency - Basic,208,Open,06/27/2001,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190475,-118.14578,33.78871
106190477,COLLEGE MEDICAL CENTER SOUTH CAMPUS D/P APH,1725 PACIFIC AVENUE,LONG BEACH,90813,19,LOS ANGELES,,36,Open,11/21/2002,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190477,-118.19382,33.78868
106190500,MARINA DEL REY HOSPITAL,4650 LINCOLN BOULEVARD,MARINA DEL REY,90292,19,LOS ANGELES,Emergency - Basic,145,Open,04/17/1970,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190500,-118.43971,33.98125
106190517,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,91356,19,LOS ANGELES,Emergency - Basic,249,Open,10/02/1973,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190517,-118.53136,34.16985
106190521,MEMORIAL HOSPITAL OF GARDENA,1145 W. REDONDO BEACH BLVD.,GARDENA,90247,19,LOS ANGELES,Emergency - Basic,172,Open,05/13/1949,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190521,-118.29493,33.89246
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,91204,19,LOS ANGELES,Emergency - Basic,334,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190522,-118.25769,34.1284
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,14850 ROSCOE BOULEVARD,PANORAMA CITY,91402,19,LOS ANGELES,Emergency - Basic,145,Open,08/13/1965,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190524,-118.45639,34.22138
106190525,LONG BEACH MEMORIAL MEDICAL CENTER,2801 ATLANTIC AVENUE,LONG BEACH,90806,19,LOS ANGELES,Emergency - Basic,458,Open,07/01/1960,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190525,-118.1852,33.80801
106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,300 WEST HUNTINGTON DRIVE,ARCADIA,91007,19,LOS ANGELES,Emergency - Basic,400,Open,05/23/1957,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190529,-118.03879,34.13603
106190534,OLYMPIA MEDICAL CENTER,5900 WEST OLYMPIC BLVD,LOS ANGELES,90036,19,LOS ANGELES,Emergency - Basic,204,Open,11/25/1947,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190534,-118.36008,34.05754
106190541,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,91016,19,LOS ANGELES,,49,Open,10/03/2008,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190541,-117.99225,34.1491
106190547,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,91754,19,LOS ANGELES,Emergency - Basic,101,Open,12/04/1972,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190547,-118.13665,34.05308
106190552,MOTION PICTURE AND TELEVISION HOSPITAL,23388 MULHOLLAND DRIVE,WOODLAND HILLS,91364,19,LOS ANGELES,,242,Open,03/20/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190552,-118.63644,34.1586
106190555,CEDARS SINAI MEDICAL CENTER,8700 BEVERLY BOULEVARD,LOS ANGELES,90048,19,LOS ANGELES,Emergency - Basic,886,Open,08/15/1955,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190555,-118.38061,34.07681
106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BOULEVARD,NORTHRIDGE,91325,19,LOS ANGELES,Emergency - Basic,417,Open,10/07/1955,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190568,-118.53186,34.22075
106190570,NORWALK COMMUNITY HOSPITAL,13222 BLOOMFIELD AVENUE,NORWALK,90650,19,LOS ANGELES,Emergency - Basic,50,Open,02/28/1955,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190570,-118.0644,33.91108
106190587,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,90806,19,LOS ANGELES,Emergency - Basic,121,Open,06/13/1956,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190587,-118.19355,33.80759
106190599,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,16453 SOUTH COLORADO AVENUE,PARAMOUNT,90723,19,LOS ANGELES,,177,Open,02/15/2005,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190599,-118.16153,33.8849
106190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 NORTH GAREY AVENUE,POMONA,91767,19,LOS ANGELES,Emergency - Basic,437,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190630,-117.75234,34.07852
106190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,12401 EAST WASHINGTON BLVD.,WHITTIER,90602,19,LOS ANGELES,Emergency - Basic,548,Open,01/15/1959,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190631,-118.04671,33.96775
106190636,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,1115 SOUTH SUNSET AVENUE,WEST COVINA,91790,19,LOS ANGELES,Emergency - Basic,325,Open,12/16/1962,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190636,-117.94528,34.06242
106190646,KAISER FOUNDATION HOSPITAL - MENTAL HEALTH CENTER,765 COLLEGE STREET,LOS ANGELES,90012,19,LOS ANGELES,,68,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190646,-118.24333,34.06615
106190661,SILVER LAKE MEDICAL CENTER-DOWNTOWN CAMPUS,1711 WEST TEMPLE STREET,LOS ANGELES,90026,19,LOS ANGELES,,116,Open,07/07/1999,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190661,-118.26324,34.06879
106190673,SAN DIMAS COMMUNITY HOSPITAL,1350 WEST COVINA BOULEVARD,SAN DIMAS,91773,19,LOS ANGELES,Emergency - Basic,101,Open,10/30/1972,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190673,-117.83218,34.09922
106190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,1300 WEST SEVENTH STREET,SAN PEDRO,90732,19,LOS ANGELES,Emergency - Basic,231,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190680,-118.30557,33.73798
106190681,MIRACLE MILE MEDICAL CENTER,6000 SAN VICENTE BOULEVARD,LOS ANGELES,90036,19,LOS ANGELES,,17,Open,07/08/1954,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190681,-118.36195,34.0572
106190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,90404,19,LOS ANGELES,Emergency - Basic,265,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190687,-118.48623,34.02755
106190696,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO ROAD,SUN VALLEY,91352,19,LOS ANGELES,Emergency - Basic,231,Open,12/30/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190696,-118.39555,34.24088
106190708,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BOULEVARD,SHERMAN OAKS,91403,19,LOS ANGELES,Emergency - Basic,153,Open,03/05/1958,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190708,-118.4488,34.15995
106190712,SHRINERS HOSPITAL FOR  CHILDREN,3160 GENEVA STREET,LOS ANGELES,90020,19,LOS ANGELES,,60,Open,03/03/1952,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190712,-118.28596,34.06762
106190754,ST. FRANCIS MEDICAL CENTER,3630 E. IMPERIAL HIGHWAY,LYNWOOD,90262,19,LOS ANGELES,Emergency - Basic,384,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190754,-118.20415,33.93085
106190756,PROVIDENCE SAINT JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD.,SANTA MONICA,90404,19,LOS ANGELES,Emergency - Basic,266,Open,01/01/1949,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190756,-118.478687,34.0298085
106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,501 SO. BUENA VISTA,BURBANK,91505,19,LOS ANGELES,Emergency - Basic,446,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190758,-118.32711,34.1559
106190762,ST. VINCENT MEDICAL CENTER,2131 WEST 3RD STREET,LOS ANGELES,90057,19,LOS ANGELES,Emergency - Standby,366,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190762,-118.27302,34.06311
106190766,COAST PLAZA HOSPITAL,13100 SOUTH STUDEBAKER ROAD,NORWALK,90650,19,LOS ANGELES,Emergency - Basic,117,Open,04/10/1958,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190766,-118.09906,33.91264
106190782,TARZANA TREATMENT CENTER,18646 OXNARD STREET,TARZANA,91356,19,LOS ANGELES,Not Applicable,60,Open,07/01/1970,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190782,-118.5388,34.17985
106190784,TEMPLE COMMUNITY HOSPITAL,235 NORTH HOOVER STREET,LOS ANGELES,90004,19,LOS ANGELES,,170,Closed,09/08/2014,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190784,-118.28366,34.07534
106190796,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,90095,19,LOS ANGELES,Emergency - Comprehensive,466,Open,07/01/1955,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190796,-118.445,34.068889
106190812,VALLEY PRESBYTERIAN HOSPITAL,15107 VAN OWEN STREET,VAN NUYS,91405,19,LOS ANGELES,Emergency - Basic,350,Open,01/21/1958,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190812,-118.46196,34.19399
106190814,SOUTHERN CALIFORNIA HOSPITAL AT VAN NUYS D/P APH,14433 EMELITA STREET,VAN NUYS,91401,19,LOS ANGELES,,59,Open,04/22/1964,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190814,-118.44724,34.17673
